Resultado da Lotomania.

Esse arquivo analisa 1674 resultados da Lotomania.
Mostrando o número, a quantidade de vezes que ele aparece nos 1674 jogos e também a porcentagem

Número: 84  Quantidade: 301  Porcentagem: 17.981%
Número: 52  Quantidade: 302  Porcentagem: 18.041%
Número: 98  Quantidade: 302  Porcentagem: 18.041%
Número: 94  Quantidade: 306  Porcentagem: 18.280%
Número: 75  Quantidade: 307  Porcentagem: 18.339%
Número: 33  Quantidade: 308  Porcentagem: 18.399%
Número: 60  Quantidade: 309  Porcentagem: 18.459%
Número: 80  Quantidade: 311  Porcentagem: 18.578%
Número: 69  Quantidade: 313  Porcentagem: 18.698%
Número: 96  Quantidade: 314  Porcentagem: 18.757%
Número: 10  Quantidade: 315  Porcentagem: 18.817%
Número: 63  Quantidade: 315  Porcentagem: 18.817%
Número: 22  Quantidade: 317  Porcentagem: 18.937%
Número: 90  Quantidade: 318  Porcentagem: 18.996%
Número: 56  Quantidade: 319  Porcentagem: 19.056%
Número: 59  Quantidade: 319  Porcentagem: 19.056%
Número: 79  Quantidade: 319  Porcentagem: 19.056%
Número: 21  Quantidade: 320  Porcentagem: 19.116%
Número: 5   Quantidade: 321  Porcentagem: 19.176%
Número: 70  Quantidade: 321  Porcentagem: 19.176%
Número: 89  Quantidade: 321  Porcentagem: 19.176%
Número: 9   Quantidade: 323  Porcentagem: 19.295%
Número: 57  Quantidade: 323  Porcentagem: 19.295%
Número: 32  Quantidade: 324  Porcentagem: 19.355%
Número: 40  Quantidade: 324  Porcentagem: 19.355%
Número: 65  Quantidade: 324  Porcentagem: 19.355%
Número: 2   Quantidade: 325  Porcentagem: 19.415%
Número: 83  Quantidade: 325  Porcentagem: 19.415%
Número: 77  Quantidade: 326  Porcentagem: 19.474%
Número: 81  Quantidade: 326  Porcentagem: 19.474%
Número: 30  Quantidade: 327  Porcentagem: 19.534%
Número: 46  Quantidade: 328  Porcentagem: 19.594%
Número: 7   Quantidade: 329  Porcentagem: 19.654%
Número: 61  Quantidade: 329  Porcentagem: 19.654%
Número: 74  Quantidade: 329  Porcentagem: 19.654%
Número: 95  Quantidade: 329  Porcentagem: 19.654%
Número: 99  Quantidade: 329  Porcentagem: 19.654%
Número: 8   Quantidade: 330  Porcentagem: 19.713%
Número: 15  Quantidade: 330  Porcentagem: 19.713%
Número: 53  Quantidade: 330  Porcentagem: 19.713%
Número: 62  Quantidade: 330  Porcentagem: 19.713%
Número: 67  Quantidade: 330  Porcentagem: 19.713%
Número: 28  Quantidade: 331  Porcentagem: 19.773%
Número: 29  Quantidade: 331  Porcentagem: 19.773%
Número: 36  Quantidade: 331  Porcentagem: 19.773%
Número: 39  Quantidade: 331  Porcentagem: 19.773%
Número: 50  Quantidade: 331  Porcentagem: 19.773%
Número: 13  Quantidade: 332  Porcentagem: 19.833%
Número: 35  Quantidade: 332  Porcentagem: 19.833%
Número: 88  Quantidade: 332  Porcentagem: 19.833%
Número: 71  Quantidade: 333  Porcentagem: 19.892%
Número: 3   Quantidade: 335  Porcentagem: 20.012%
Número: 34  Quantidade: 335  Porcentagem: 20.012%
Número: 37  Quantidade: 335  Porcentagem: 20.012%
Número: 87  Quantidade: 335  Porcentagem: 20.012%
Número: 97  Quantidade: 335  Porcentagem: 20.012%
Número: 0   Quantidade: 336  Porcentagem: 20.072%
Número: 66  Quantidade: 336  Porcentagem: 20.072%
Número: 93  Quantidade: 336  Porcentagem: 20.072%
Número: 24  Quantidade: 337  Porcentagem: 20.131%
Número: 25  Quantidade: 337  Porcentagem: 20.131%
Número: 31  Quantidade: 337  Porcentagem: 20.131%
Número: 68  Quantidade: 337  Porcentagem: 20.131%
Número: 86  Quantidade: 337  Porcentagem: 20.131%
Número: 12  Quantidade: 338  Porcentagem: 20.191%
Número: 14  Quantidade: 339  Porcentagem: 20.251%
Número: 72  Quantidade: 339  Porcentagem: 20.251%
Número: 82  Quantidade: 339  Porcentagem: 20.251%
Número: 20  Quantidade: 340  Porcentagem: 20.311%
Número: 73  Quantidade: 340  Porcentagem: 20.311%
Número: 1   Quantidade: 341  Porcentagem: 20.370%
Número: 18  Quantidade: 341  Porcentagem: 20.370%
Número: 27  Quantidade: 341  Porcentagem: 20.370%
Número: 16  Quantidade: 342  Porcentagem: 20.430%
Número: 44  Quantidade: 342  Porcentagem: 20.430%
Número: 51  Quantidade: 343  Porcentagem: 20.490%
Número: 55  Quantidade: 344  Porcentagem: 20.550%
Número: 78  Quantidade: 344  Porcentagem: 20.550%
Número: 6   Quantidade: 345  Porcentagem: 20.609%
Número: 85  Quantidade: 345  Porcentagem: 20.609%
Número: 38  Quantidade: 346  Porcentagem: 20.669%
Número: 4   Quantidade: 347  Porcentagem: 20.729%
Número: 23  Quantidade: 347  Porcentagem: 20.729%
Número: 64  Quantidade: 348  Porcentagem: 20.789%
Número: 76  Quantidade: 348  Porcentagem: 20.789%
Número: 11  Quantidade: 349  Porcentagem: 20.848%
Número: 19  Quantidade: 351  Porcentagem: 20.968%
Número: 91  Quantidade: 351  Porcentagem: 20.968%
Número: 58  Quantidade: 353  Porcentagem: 21.087%
Número: 26  Quantidade: 354  Porcentagem: 21.147%
Número: 42  Quantidade: 359  Porcentagem: 21.446%
Número: 43  Quantidade: 365  Porcentagem: 21.804%
Número: 54  Quantidade: 365  Porcentagem: 21.804%
Número: 45  Quantidade: 366  Porcentagem: 21.864%
Número: 49  Quantidade: 372  Porcentagem: 22.222%
